"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6878","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","KRISHNA STEEL","Payment Success","18450"
"6879","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/241229","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","20-Jul-2026","ENJAR GRAM PANCHAYAT","Payment Success","499537"
"6880","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/160503","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","17-Aug-2026","K M Joseph","Payment Success","263430"
"6881","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","pratap singh","Payment Success","10332"
"6882","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","Vimla singh","Payment Success","10332"
"6883","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","Joshi brothers","Payment Success","2002"
"6884","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239824","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","Kirti Vardhan Singh","GONDA","06-May-2026","PARTEEK CONSTRUCTION","Payment Success","416880"
"6885","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219612","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","08-May-2026","AH BUILDER AND CONTRACTOR","Payment Success","171820"
"6886","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP331/2025-2026/207245","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","09-May-2026","GANESH KUMAR","Payment Success","257900"
"6887","Assam","Construction of community centers and community halls","WS/MP18029/2025-2026/248143","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","RANJIT DUTTA","Sonitpur","12-May-2026","SUN ENTERPRISE","Payment Success","184506"
"6888","Andhra Pradesh","Construction of community centers and community halls","WS/MP18006/2025-2026/239476","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","11-May-2026","MS NPR AND COMPANY","Payment Success","731167"
"6889","Madhya Pradesh","Development of playfields and sports grounds","WS/MP18099/2026-2027/269942","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","29-May-2026","Kadampur","Payment Success","250000"
